# part_number, description, eprom_sku, longtech_sku, asi_sku, allway_sku, tigerdirect_sku, memex_sku, ncix_sku, wtcr_sku, category_id, nid, autoupdate
'023NVR', 'Passive DisplayPort to DVI Adapter', '', '', '', '95427', '', '', '', 'ADA-DPDVI-01', '38', '1022', '1'
'0516-001', 'Axis M3004-V Fixed Dome Network IP Camera', '', '', '', '', 'YYS2-4893049', '', '', 'SEC-AXM34-01', '188', '1146', '1'
'0549-001', 'Axis M2014-E 720p Bullet-style Network IP Camera', '', '', '', '', 'YYS2-5101742', '', '', 'SEC-AXM14-01', '188', '1147', '1'
'11215-00-20G', 'Sapphire Radeon R7 250 1GB GDDR5', 'VC-SA-11215-00-20G', '', '', '', 'RLH-102014204', '', '', 'VID-SR725-01', '31', '1121', '1'
'11215-01-20G', 'Sapphire Radeon R7 250 2GB GDDR3', 'VC-SA-11215-01-20G', '', '', '', 'RLH-102014203', '', '', 'VID-SR725-02', '31', '1122', '1'
'11216-00-20G', 'Sapphire Radeon R7 240 2GB GDDR3', 'VC-SA-11216-00-20G', '', '', '', '', 'MX50700', '', 'VID-SR724-01', '31', '1088', '1'
'11217-00-20G', 'Sapphire Radeon R9 270X 2GB GDDR5 Vapor-X', 'VC-SA-11217-00-20G', '', '', '', 'RLH-102228863', '', '', 'VID-SR927-01', '31', '1043', '1'
'11217-00-40G', 'Sapphire Radeon R9 270X 2GB GDDR5 Toxic', '', '', '', '', 'RLH-102014198', '', '', 'VID-SR927-04', '85', '1139', '1'
'11217-01-20G', 'Sapphire Radeon R9 270X 2GB GDDR5 Dual-X', 'VC-SA-11217-01-20G', '', '', '', 'RLH-102180081', '', '', 'VID-SR927-02', '85', '1046', '1'
'11221-00-20G', 'Sapphire Radeon R9 280X 3GB GDDR5 Dual-X', 'VC-SA-11221-00-20G', '', '', '', 'RLH-102014197', '', '', 'VID-SR928-01', '85', '1039', '1'
'11221-00-25G', 'Sapphire Radeon R9 280X 3GB GDDR5 Dual-X Battlefield 4 Edition', '', '', '', '', '', '', '', 'VID-SR928-02', '85', '1040', '1'
'11221-01-40G', 'Sapphire Radeon R9 280X 3GB GDDR5 Toxic', 'VC-SA-11221-01-40G', '', '', '', 'RLH-102014195', 'MX50697', '', 'VID-SR928-03', '85', '1041', '1'
'11222-17-20G', 'Sapphire Radeon R7 260X 2GB GDDR5', 'VC-SA-11222-17-20G', '', '', '', '', '', '', 'VID-SR726-01', '85', '1123', '1'
'11226-00-40G', 'Sapphire Radeon R9 290X 4GB GDDR5 Tri-X OC', 'VC-SA-11226-00-40G', '', '', '', '', '', '', 'VID-SR929-06', '85', '1073', '1'
'11227-00-40G', 'Sapphire Radeon R9 290 4GB GDDR5 Tri-X OC', 'VC-SA-11227-00-40G', '', '', '', 'RLH-102298772', 'MX51095', '', 'VID-SR929-08', '85', '1106', '1'
'120-G2-1000-XR', 'EVGA SuperNova 1000 G2 Fully Modular 1000W ATX', '', '', '137589', '', 'E145-1000G2', 'MX46164', '', 'PWR-ES1G2-01', '30', '20386', '1'
